web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692585180-1,24/04/2023,21/05/2023,22/05/2023,131,131,Petite Chambre Double,,Hôtel Maison Doron,Beaufort,,20
1692585180-2,24/04/2023,21/05/2023,22/05/2023,134,134,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692585180-3,24/04/2023,21/05/2023,22/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692585180-4,24/04/2023,21/05/2023,22/05/2023,82,82,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,20
1692585180-5,24/04/2023,21/05/2023,22/05/2023,155,155,Chambre Double ou Lits Jumeaux Confort ,,Au Coin Du Feu,Megève,,20
1692585180-6,24/04/2023,21/05/2023,22/05/2023,59,59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692585180-7,24/04/2023,21/05/2023,22/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692585180-8,24/04/2023,21/05/2023,22/05/2023,123,123,Chambre Double ou Lits Jumeaux de Charme - Rez-de-Chaussée ,,Au Vieux Moulin,Megève,,20
1692585180-9,24/04/2023,21/05/2023,22/05/2023,141,141,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1692585180-10,24/04/2023,21/05/2023,22/05/2023,124,124,Suite - Vue sur Montagne,,Hôtel Flor'Alpes,La Giettaz,,20
1692585180-11,24/04/2023,21/05/2023,22/05/2023,103,103,Chambre Double,,Albert 1er,Albertville,,20
1692585180-12,24/04/2023,21/05/2023,22/05/2023,76,76,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692585180-13,24/04/2023,21/05/2023,22/05/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,20
1692585180-14,24/04/2023,21/05/2023,22/05/2023,73,73,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
1692585180-15,24/04/2023,21/05/2023,22/05/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,20
1692585180-16,24/04/2023,21/05/2023,22/05/2023,336,336,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,20
1692585180-17,24/04/2023,21/05/2023,22/05/2023,220,220,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1692585180-18,24/04/2023,21/05/2023,22/05/2023,815,815,Suite en Duplex,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,20
1692585180-19,24/04/2023,21/05/2023,22/05/2023,178,178,Chambre Double Confort,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,20
1692585180-20,24/04/2023,21/05/2023,22/05/2023,138,138,Chambre Double - Vue sur Montagnes - 4,,Le Coin Savoyard,Combloux,,20
1692585180-21,24/04/2023,21/05/2023,22/05/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1692585180-22,24/04/2023,21/05/2023,22/05/2023,112,112,Chambre Double Classique,,Hotel Du Parc - Manoir Du Baron Blanc,Faverges,,20
1692585180-23,24/04/2023,21/05/2023,22/05/2023,435,435,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,20
1692585180-24,24/04/2023,21/05/2023,22/05/2023,63,63,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,20
1692585180-25,24/04/2023,21/05/2023,22/05/2023,105,105,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,20
1692585180-26,24/04/2023,21/05/2023,22/05/2023,131,131,Petite Chambre Double,,Hôtel Maison Doron,Beaufort,,20
1692585180-27,24/04/2023,21/05/2023,22/05/2023,134,134,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692585180-28,24/04/2023,21/05/2023,22/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692585180-29,24/04/2023,21/05/2023,22/05/2023,82,82,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,20
1692585180-30,24/04/2023,21/05/2023,22/05/2023,155,155,Chambre Double ou Lits Jumeaux Confort ,,Au Coin Du Feu,Megève,,20
1692585180-31,24/04/2023,21/05/2023,22/05/2023,59,59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692585180-32,24/04/2023,21/05/2023,22/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
1692585180-33,24/04/2023,21/05/2023,22/05/2023,123,123,Chambre Double ou Lits Jumeaux de Charme - Rez-de-Chaussée ,,Au Vieux Moulin,Megève,,20
1692585180-34,24/04/2023,21/05/2023,22/05/2023,141,141,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,20
1692585180-35,24/04/2023,21/05/2023,22/05/2023,124,124,Suite - Vue sur Montagne,,Hôtel Flor'Alpes,La Giettaz,,20
1692585180-36,24/04/2023,21/05/2023,22/05/2023,103,103,Chambre Double,,Albert 1er,Albertville,,20
1692585180-37,24/04/2023,21/05/2023,22/05/2023,76,76,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,20
1692585180-38,24/04/2023,21/05/2023,22/05/2023,50,50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,20
1692585180-39,24/04/2023,21/05/2023,22/05/2023,73,73,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,20
1692585180-40,24/04/2023,21/05/2023,22/05/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,20
1692585180-41,24/04/2023,21/05/2023,22/05/2023,336,336,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,20
1692585180-42,24/04/2023,21/05/2023,22/05/2023,220,220,Chambre Supérieure Double ou Twin avec Terrasse et Vue sur le Mont d'Arbois et le Mont-Blanc,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,20
1692585180-43,24/04/2023,21/05/2023,22/05/2023,815,815,Suite en Duplex,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,20
1692585180-44,24/04/2023,21/05/2023,22/05/2023,178,178,Chambre Double Confort,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,20
1692585180-45,24/04/2023,21/05/2023,22/05/2023,138,138,Chambre Double - Vue sur Montagnes - 4,,Le Coin Savoyard,Combloux,,20
1692585180-46,24/04/2023,21/05/2023,22/05/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,20
1692585180-47,24/04/2023,21/05/2023,22/05/2023,112,112,Chambre Double Classique,,Hotel Du Parc - Manoir Du Baron Blanc,Faverges,,20
1692585180-48,24/04/2023,21/05/2023,22/05/2023,435,435,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,20
1692585180-49,24/04/2023,21/05/2023,22/05/2023,63,63,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,20
1692585180-50,24/04/2023,21/05/2023,22/05/2023,105,105,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,20
1692585180-51,24/04/2023,21/05/2023,22/05/2023,131,131,Petite Chambre Double,,Hôtel Maison Doron,Beaufort,,20
1692585180-52,24/04/2023,21/05/2023,22/05/2023,134,134,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,20
1692585180-53,24/04/2023,21/05/2023,22/05/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,20
1692585180-54,24/04/2023,21/05/2023,22/05/2023,82,82,Chambre Lits Jumeaux,,Auberge de Costaroche,Albertville,,20
1692585180-55,24/04/2023,21/05/2023,22/05/2023,155,155,Chambre Double ou Lits Jumeaux Confort ,,Au Coin Du Feu,Megève,,20
1692585180-56,24/04/2023,21/05/2023,22/05/2023,59,59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,20
1692585180-57,24/04/2023,21/05/2023,22/05/2023,109,109,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,20
