web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaine
1692639700-1,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,39
1692639700-2,01/05/2023,25/09/2023,26/09/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,39
1692639700-3,01/05/2023,25/09/2023,26/09/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,39
1692639700-4,01/05/2023,25/09/2023,26/09/2023,302,302,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,39
1692639700-5,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,39
1692639700-6,01/05/2023,25/09/2023,26/09/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,39
1692639700-7,01/05/2023,25/09/2023,26/09/2023,489,489,Chambre Double Deluxe,,Flocons de Sel,Megève,,39
1692639700-8,01/05/2023,25/09/2023,26/09/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,39
1692639700-9,01/05/2023,25/09/2023,26/09/2023,73,73,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,39
1692639700-10,01/05/2023,25/09/2023,26/09/2023,117,117,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,39
1692639700-11,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Confort,,Coeur de Megève,Megève,,39
1692639700-12,01/05/2023,25/09/2023,26/09/2023,130,130,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,39
1692639700-13,01/05/2023,25/09/2023,26/09/2023,563,563,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,39
1692639700-14,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double,,Albert 1er,Albertville,,39
1692639700-15,01/05/2023,25/09/2023,26/09/2023,124,124,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,39
1692639700-16,01/05/2023,25/09/2023,26/09/2023,194,194,Chambre Double ou Lits Jumeaux,,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,39
1692639700-17,01/05/2023,25/09/2023,26/09/2023,67,67,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,39
1692639700-18,01/05/2023,25/09/2023,26/09/2023,80,80,Chambre Double ou Lits Jumeaux,,La Gelinotte,Les Contamines-Montjoie,,39
1692639700-19,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,39
1692639700-20,01/05/2023,25/09/2023,26/09/2023,481,481,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,39
1692639700-21,01/05/2023,25/09/2023,26/09/2023,146,146,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,39
1692639700-22,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double,,Logis Hôtel Le Caprice Des Neiges,Combloux,,39
1692639700-23,01/05/2023,25/09/2023,26/09/2023,939,939,Suite,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,39
1692639700-24,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692639700-25,01/05/2023,25/09/2023,26/09/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,39
1692639700-26,01/05/2023,25/09/2023,26/09/2023,181,181,Chambre Double ou Lits Jumeaux Classique,,Hôtel Grandes Rousses,L'Alpe-d'Huez,,39
1692657749-1,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,39
1692657749-2,01/05/2023,25/09/2023,26/09/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,39
1692657749-3,01/05/2023,25/09/2023,26/09/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,39
1692657749-4,01/05/2023,25/09/2023,26/09/2023,302,302,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,39
1692657749-5,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,39
1692657749-6,01/05/2023,25/09/2023,26/09/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,39
1692657749-7,01/05/2023,25/09/2023,26/09/2023,489,489,Chambre Double Deluxe,,Flocons de Sel,Megève,,39
1692657749-8,01/05/2023,25/09/2023,26/09/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,39
1692657749-9,01/05/2023,25/09/2023,26/09/2023,73,73,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,39
1692657749-10,01/05/2023,25/09/2023,26/09/2023,117,117,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,39
