web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692632674-1,24/04/2023,17/09/2023,24/09/2023,595,595,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,37
1692632674-2,24/04/2023,17/09/2023,24/09/2023,946,946,Chambre Double ou Lits Jumeaux,,Hôtel Les Ancolies à Arêches,Arêches,,37
1692632674-3,24/04/2023,17/09/2023,24/09/2023,883,883,Chambre Double Supérieure,,Hôtel Viallet,Arêches,,37
1692632674-4,24/04/2023,17/09/2023,24/09/2023,1289,1289,Chambre sur la Montagne,,"La Ferme du Chozal, The Originals Relais",Hauteluce,,37
1692632674-5,24/04/2023,17/09/2023,24/09/2023,853,853,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,37
1692632674-6,24/04/2023,17/09/2023,24/09/2023,798,798,Chambre Double Standard,,Les Chalets de La Griyotire,Praz-sur-Arly,,37
1692632674-7,24/04/2023,17/09/2023,24/09/2023,3203,3203,Appartement Village,,Flocons de Sel,Megève,,37
1692632674-8,24/04/2023,17/09/2023,24/09/2023,510,510,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,37
1692632674-9,24/04/2023,17/09/2023,24/09/2023,800,800,Chambre Double Standard,,ibis Styles Albertville,Albertville,,37
1692632674-10,24/04/2023,17/09/2023,24/09/2023,1454,1454,Chambre Double Confort,,Coeur de Megève,Megève,,37
1692632674-11,24/04/2023,17/09/2023,24/09/2023,4131,4131,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,37
1692632674-12,24/04/2023,17/09/2023,24/09/2023,1538,1538,Chambre Double Club,,Hotel Mont Blanc Megève,Megève,,37
1692632674-13,24/04/2023,17/09/2023,24/09/2023,655,655,Chambre Double avec Salle de Bains Privative,,Hôtel Flor'Alpes,La Giettaz,,37
1692632674-14,24/04/2023,17/09/2023,24/09/2023,681,681,Chambre Double,,Albert 1er,Albertville,,37
1692632674-15,24/04/2023,17/09/2023,24/09/2023,4120,4120,Chambre Lit King-Size Supérieure,,Four Seasons Hotel Megeve,Megève,,37
1692632674-16,24/04/2023,17/09/2023,24/09/2023,868,868,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,37
1692632674-17,24/04/2023,17/09/2023,24/09/2023,1839,1839,Chambre Familiale (2 Adultes et 2 Enfants),,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,37
1692632674-18,24/04/2023,17/09/2023,24/09/2023,584,584,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,37
1692632674-19,24/04/2023,17/09/2023,24/09/2023,3115,3115,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,37
1692632674-20,24/04/2023,17/09/2023,24/09/2023,631,631,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,37
1692632674-21,24/04/2023,17/09/2023,24/09/2023,1958,1958,Chambre Triple - Vue sur la Piscine,,Hôtel Les Chalets de la Serraz,La Clusaz,,37
1692632674-22,24/04/2023,17/09/2023,24/09/2023,1086,1086,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,37
1692632674-23,24/04/2023,17/09/2023,24/09/2023,774,774,Chambre Double,,Logis Hôtel Le Caprice Des Neiges,Combloux,,37
1692632674-24,24/04/2023,17/09/2023,24/09/2023,8909,8909,Chalet 3 Chambres,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,37
