1692691998-1,08/05/2023,03/07/2023,10/07/2023,882,856,Chambre Double Supérieure avec Accès au Spa,,Hôtel Alexane,Samoëns,,27
1692691998-2,08/05/2023,03/07/2023,10/07/2023,1292,1254,Chambre Lits Jumeaux Annexe,,"Chalet-Hôtel Neige et Roc, The Originals Relais (Hotel-Chalet de Tradition)",Samoëns,,27
1692691998-3,08/05/2023,03/07/2023,10/07/2023,1118,1085,Chambre Double avec Baignoire,,Hôtel Les Glaciers,Samoëns,,27
1692691998-4,08/05/2023,03/07/2023,10/07/2023,703,703,Chambre Double Confort,,Hôtel 4C,Cluses,,27
1692691998-5,08/05/2023,03/07/2023,10/07/2023,806,721,Chambre Double Classique,,Logis Hotel Gai Soleil,Samoëns,,27
1692691998-6,08/05/2023,03/07/2023,10/07/2023,928,928,Chambre Lits Jumeaux Standard - Vue sur Village,,Hotel-Spa Le Morillon Charme & Caractère,Morillon,,27
1692691998-7,08/05/2023,03/07/2023,10/07/2023,766,744,Chambre Double ou Lits Jumeaux,,La Boule de Neige,Samoëns,,27
1692691998-8,08/05/2023,03/07/2023,10/07/2023,1857,1857,Chambre Double Classique 3,,Hôtel Les Servages d'Armelle,Les Carroz d'Arâches,,27
1692691998-9,08/05/2023,03/07/2023,10/07/2023,812,788,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,27
1692691998-10,08/05/2023,03/07/2023,10/07/2023,1538,1491,Chambre Triple,,La Ferme Du Lac,Thyez,,27
1692691998-11,08/05/2023,03/07/2023,10/07/2023,543,527,Chambre Double,,Hotel Edelweiss,Magland,,27
1692691998-12,08/05/2023,03/07/2023,10/07/2023,1117,1117,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,27
1692691998-13,08/05/2023,03/07/2023,10/07/2023,714,714,Chambre Lits Jumeaux avec Salle de Bains Privative,,Le Taconet,Praz de Lys - Sommand,,27
1692691998-14,08/05/2023,03/07/2023,10/07/2023,700,700,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,27
1692691998-15,08/05/2023,03/07/2023,10/07/2023,1487,1487,Chambre Double ou Lits Jumeaux Classique,,Hôtel Alpina & SPA,Les Gets,,27
1692691998-16,08/05/2023,03/07/2023,10/07/2023,1812,1759,Chambre Double Confort,,Hôtel Spa Crychar,Les Gets,,27
1692691998-17,08/05/2023,03/07/2023,10/07/2023,1145,1145,Chambre Double - Vue sur Montagne,,Bellevue,Les Gets,,27
1692691998-18,08/05/2023,03/07/2023,10/07/2023,1008,978,Chambre Familiale avec Salle de Bains Privative,,Altitude Lodge,Les Gets,,27
1692691998-19,08/05/2023,03/07/2023,10/07/2023,1505,1505,Chambre Double Classique,,Le Lodge Chasse Montagne,Les Gets,,27
1692691998-20,08/05/2023,03/07/2023,10/07/2023,1151,1151,Chambre Lit King-Size Supérieure ,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,27
1692691998-21,08/05/2023,03/07/2023,10/07/2023,543,527,Chambre avec Vue sur le Mont Blanc,,HOTEL Le TOURISME,Passy,,27
1692691998-22,08/05/2023,03/07/2023,10/07/2023,1447,1447,Chambre Triple Confort avec Douche,,La Clef des Champs,Morzine,,27
1692691998-23,08/05/2023,03/07/2023,10/07/2023,1407,1407,Studio (2 Adultes),,Hotel Igloo,Morzine,,27
1692691998-24,08/05/2023,03/07/2023,10/07/2023,1820,1820,Chambre Familiale avec Baignoire,,Hotel Le Samoyede,Morzine,,27
1692691998-25,08/05/2023,03/07/2023,10/07/2023,1839,1839,Chambre Triple – Vue sur Montagne,,Hotel Le Tremplin,Morzine,,27
