web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1692838488-1,08/05/2023,17/07/2023,18/07/2023,194,194,Chambre Double Annexe,,"Chalet-Hôtel Neige et Roc, The Originals Relais (Hotel-Chalet de Tradition)",Samoëns,,29
1692838488-2,08/05/2023,17/07/2023,18/07/2023,107,107,Chambre Double Économique,,Edelweiss,Samoëns,,29
1692838488-3,08/05/2023,17/07/2023,18/07/2023,174,174,Chambre Double avec Baignoire,,Hôtel Les Glaciers,Samoëns,,29
1692838488-4,08/05/2023,17/07/2023,18/07/2023,307,307,Chambre Double Classique 3,,Hôtel Les Servages d'Armelle,Les Carroz d'Arâches,,29
1692838488-5,08/05/2023,17/07/2023,18/07/2023,69,69,Chambre Double,,Hotel Edelweiss,Magland,,29
1692838488-6,08/05/2023,17/07/2023,18/07/2023,102,102,Chambre Double avec Salle de Bains Privative,,Le Taconet,Praz de Lys - Sommand,,29
1692838488-7,08/05/2023,17/07/2023,18/07/2023,191,191,Chambre Double Classique (2 Adultes),,"Chalet-Hôtel La Marmotte, La Tapiaz & SPA, The Originals Relais (Hotel-Chalet de Tradition)",Les Gets,,29
1692838488-8,08/05/2023,17/07/2023,18/07/2023,217,217,Chambre Familiale Privilège,,Hôtel Alpina & SPA,Les Gets,,29
1692838488-9,08/05/2023,17/07/2023,18/07/2023,106,106,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,29
1692838488-10,08/05/2023,17/07/2023,18/07/2023,145,145,Chambre Double Standard,,Hotel Le Christiania,Les Gets,,29
1692838488-11,08/05/2023,17/07/2023,18/07/2023,111,111,Chambre Double Confort,,Accueil Savoyard,Mieussy,,29
1692838488-12,08/05/2023,17/07/2023,18/07/2023,217,217,Chambre Familiale - Vue sur Montagne,,Hotel Le Concorde,Morzine,,29
1692838488-13,08/05/2023,17/07/2023,18/07/2023,145,145,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,29
1692838488-14,08/05/2023,17/07/2023,18/07/2023,178,178,Chambre Double,,Hotel le Petit Dru,Morzine,,29
1692838488-15,08/05/2023,17/07/2023,18/07/2023,264,264,Chambre Double ou Lits Jumeaux Supérieure,,Hôtel Champs Fleuris Morzine,Morzine,,29
1692838488-16,08/05/2023,17/07/2023,18/07/2023,110,110,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,29
1692838488-17,08/05/2023,17/07/2023,18/07/2023,153,153,Chambre Double ou Lits Jumeaux Économique,,Hôtel Le Sporting,Morzine,,29
1692838488-18,08/05/2023,17/07/2023,18/07/2023,314,314,Suite - Vue sur Montagne,,Le Chalet Hôtel Cordon,Cordon,,29
1692838488-19,08/05/2023,17/07/2023,18/07/2023,109,109,Chambre Double,,Bonne Valette,Morzine,,29
1692838488-20,08/05/2023,17/07/2023,18/07/2023,219,219,Chambre Double Supérieure,,Auberge Les Gorges De La Diosaz,Servoz,,29
1692838488-21,08/05/2023,17/07/2023,18/07/2023,129,129,Chambre Double ou Lits Jumeaux,,Hôtel et Chalet Au Coin Du Feu Chilly Powder,Morzine,,29
1692838488-22,08/05/2023,17/07/2023,18/07/2023,154,154,Chambre Triple,,L'Alpage,Le Grand-Bornand,,29
1692838488-23,08/05/2023,17/07/2023,18/07/2023,123,123,Chambre Double - Vue sur Montagne,,Hotel La Crémaillère,Le Grand-Bornand,,29
