web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines
1675405540-552,13/02/23,08/03/2023,09/03/2023, 189, 189,Chambre Double Deluxe,,Hôtel Chalet Le Caribou,Les Saisies,,10
1675405540-553,13/02/23,08/03/2023,09/03/2023, 154, 154,Chambre Double,,Maison Doron,Beaufort,,10
1675405540-554,13/02/23,08/03/2023,09/03/2023, 322, 322,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,10
1675405540-555,13/02/23,08/03/2023,09/03/2023, 292, 292,Chambre Lits Jumeaux,,Le Calgary,Les Saisies,,10
1675405540-556,13/02/23,08/03/2023,09/03/2023, 123, 123,Chambre Double Supérieure,,Hôtel Viallet,Arêches,,10
1675405540-557,13/02/23,08/03/2023,09/03/2023, 112, 112,Chambre Lits Jumeaux - Vue sur Montagne,,Hotel Le Tetras,Notre-Dame-de-Bellecombe,,10
1675405540-558,13/02/23,08/03/2023,09/03/2023, 111, 111,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,10
1675405540-559,13/02/23,08/03/2023,09/03/2023, 544, 544,Chambre Double Supérieure,,Flocons de Sel,Megève,,10
1675405540-560,13/02/23,08/03/2023,09/03/2023, 90, 90,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,10
1675405540-561,13/02/23,08/03/2023,09/03/2023, 82, 82,Chambre Double,,Auberge de Costaroche,Albertville,,10
1675405540-562,13/02/23,08/03/2023,09/03/2023, 166, 166,Chambre Double Supérieure,,Hotel Million,Albertville,,10
1675405540-563,13/02/23,08/03/2023,09/03/2023, 59, 59,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,10
1675405540-564,13/02/23,08/03/2023,09/03/2023, 261, 261,Chambre Double ou Lits Jumeaux de Charme - Rez-de-Chaussée,,Au Vieux Moulin,Megève,,10
1675405540-565,13/02/23,08/03/2023,09/03/2023, 301, 301,Chambre Double Standard,,Au Coin Du Feu,Megève,,10
1675405540-566,13/02/23,08/03/2023,09/03/2023, 117, 117,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,10
1675405540-567,13/02/23,08/03/2023,09/03/2023, 714, 714,Chambre Double,,Lodge Park,Megève,,10
1675405540-568,13/02/23,08/03/2023,09/03/2023, 201, 201,Chambre Double Standard,,Le Chalet d'Antoine,Megève,,10
1675405540-569,13/02/23,08/03/2023,09/03/2023, 618, 618,Chambre Double Confort,,Coeur de Megève,Megève,,10
1675405540-570,13/02/23,08/03/2023,09/03/2023, 268, 268,Chambre Double Classique,,La Ferme du Golf,Megève,,10
1675405540-571,13/02/23,08/03/2023,09/03/2023, 380, 380,Chambre Supérieure avec 1 Lit Double et Canapé-Lit - Vue sur Village,,Novotel Megève Mont-Blanc,Megève,,10
1675405540-572,13/02/23,08/03/2023,09/03/2023, 93, 93,Chambre Double,,Albert 1er,Albertville,,10
1675405540-573,13/02/23,08/03/2023,09/03/2023, 578, 578,Chambre Double Classique,,Fer à Cheval,Megève,,10
1675405540-574,13/02/23,08/03/2023,09/03/2023, 1 133, 1 133,Chambre Double Club,,Le Chalet Blanc,Megève,,10
1675405540-575,13/02/23,08/03/2023,09/03/2023, 253, 253,Chambre Double avec Terrasse,,Les Loges Blanches,Megève,,10
1675405540-576,13/02/23,08/03/2023,09/03/2023, 675, 675,Chambre Double avec Balcon,,Hôtel L'Arboisie,Megève,,10
1675405540-602,13/02/23,08/03/2023,09/03/2023, 50, 50,Chambre Lits Jumeaux,,Fasthotel Albertville,Albertville,,10
1675405540-603,13/02/23,08/03/2023,09/03/2023, 81, 81,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,10
1675405540-604,13/02/23,08/03/2023,09/03/2023, 416, 416,Chambre Double,,Mamie Megève,Megève,,10
1675405540-605,13/02/23,08/03/2023,09/03/2023, 1 500, 1 500,Suite Junior,,Zannier Hotels Le Chalet,Megève,,10
1675405540-606,13/02/23,08/03/2023,09/03/2023, 62, 62,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,10
1675405540-607,13/02/23,08/03/2023,09/03/2023, 153, 153,Chambre Lits Jumeaux - Vue sur Montagne,,La Vieille Ferme,Manigod,,10
1675405540-608,13/02/23,08/03/2023,09/03/2023, 197, 197,Chambre Double avec Toilettes Communes,,Chalet-Hôtel de l'Etape,Les Contamines-Montjoie,,10
1675405540-609,13/02/23,08/03/2023,09/03/2023, 74, 74,Chambre Double ou Lits Jumeaux,,La Gelinotte,Les Contamines-Montjoie,,10
1675405540-610,13/02/23,08/03/2023,09/03/2023, 838, 838,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,10
1675405540-611,13/02/23,08/03/2023,09/03/2023, 93, 93,Chambre Double - Accessible aux Personnes à Mobilité Réduite,,Brit Hotel Florimont,Saint-Ferréol,,10
1675405540-612,13/02/23,08/03/2023,09/03/2023, 220, 220,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,10
1675405540-613,13/02/23,08/03/2023,09/03/2023, 218, 218,Chambre Double,,Logis Hôtel Le Caprice Des Neiges,Combloux,,10
1675405540-614,13/02/23,08/03/2023,09/03/2023, 250, 250,Family 5,,Hôtel Restaurant U'Fredy,La Clusaz,,10
1675405540-615,13/02/23,08/03/2023,09/03/2023, 514, 514,Chambre Double,,"Chalet Alpen Valley, Mont-Blanc",Combloux,,10
1675405540-616,13/02/23,08/03/2023,09/03/2023, 458, 458,Mini Suite,,"Hôtel Restaurant ""Les Sapins"" Wellness & Gourmet",Manigod,,10
1675405540-617,13/02/23,08/03/2023,09/03/2023, 128, 128,Chambre Double - Vue sur Montagnes - 4,,Le Coin Savoyard,Combloux,,10
1675405540-618,13/02/23,08/03/2023,09/03/2023, 79, 79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,10
1675405540-619,13/02/23,08/03/2023,09/03/2023, 112, 112,Chambre Double Classique,,Hotel Du Parc - Manoir Du Baron Blanc,Faverges,,10
1675405540-620,13/02/23,08/03/2023,09/03/2023, 435, 435,Suite Junior (2 Adultes),,Les Chalets-Hôtel de la Croix-Fry,Manigod,,10
1675405540-621,13/02/23,08/03/2023,09/03/2023, 136, 136,Chambre Double Économique,,Hotel La Montagne,La Clusaz,,10
1675405540-622,13/02/23,08/03/2023,09/03/2023, 193, 193,Chambre Double,,Hotel Christiania,La Clusaz,,10
1675405540-623,13/02/23,08/03/2023,09/03/2023, 245, 245,Chambre Double ou Lits Jumeaux,,St-Alban Hotel & Spa,La Clusaz,,10
1675405540-624,13/02/23,08/03/2023,09/03/2023, 186, 186,Chambre Double Standard,,Les Airelles,La Clusaz,,10
1675405540-625,13/02/23,08/03/2023,09/03/2023, 214, 214,Chambre Double ou Lits Jumeaux Orientée Nord,,Beaulieu,La Clusaz,,10
1675405540-626,13/02/23,08/03/2023,09/03/2023, 214, 214,Petite Chambre Double - Sans Vue,,Carlina,La Clusaz,,10
1675405540-627,13/02/23,08/03/2023,09/03/2023, 232, 232,Chambre Double Économique,,Hotel les Sapins,La Clusaz,,10
1675405540-628,13/02/23,08/03/2023,09/03/2023, 263, 263,Petit Chalet Atypique,,Hôtel Restaurant La Ferme de Cupelin,Saint-Gervais-les-Bains,,10
1675405540-629,13/02/23,08/03/2023,09/03/2023, 228, 228,Chambre Double Supérieure,,Les Roches Fleuries,Cordon,,10
1675405540-630,13/02/23,08/03/2023,09/03/2023, 195, 195,Chambre Double,,Le Chamois d'Or,Cordon,,10
1675405540-631,13/02/23,08/03/2023,09/03/2023, 81, 81,Chambre Double,,Hôtel Les Dômes de Miage,Saint-Gervais-les-Bains,,10
1675405540-632,13/02/23,08/03/2023,09/03/2023, 378, 378,Suite,,Chalet-Hôtel Inarpa,La Clusaz,,10
1675405540-633,13/02/23,08/03/2023,09/03/2023, 556, 556,Chambre Junior,,Au Coeur du Village,La Clusaz,,10
1675405540-634,13/02/23,08/03/2023,09/03/2023, 121, 121,Chambre Lits Jumeaux avec Accès Spa,,Hôtel Restaurant La Tourmaline,Aime-La-Plagne,,10
1675405540-635,13/02/23,08/03/2023,09/03/2023, 218, 218,Chambre Double ou Triple Classique,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,10
1675405540-636,13/02/23,08/03/2023,09/03/2023, 152, 152,Chambre Classique Lits Jumeaux,,Hôtel Val d'Este,Saint-Gervais-les-Bains,,10
1675405540-637,13/02/23,08/03/2023,09/03/2023, 118, 72,Chambre Double,,L auberge du basilico,Aime,,10
1675405540-638,13/02/23,08/03/2023,09/03/2023, 224, 191,Chambre Double ou Lits Jumeaux Standard,,Coeur des Neiges,Saint-Gervais-les-Bains,,10
1675405540-639,13/02/23,08/03/2023,09/03/2023, 109, 109,Chambre Double,,Le Charvet,Cordon,,10
1675405540-640,13/02/23,08/03/2023,09/03/2023, 122, 122,Chambre Double ou Lits Jumeaux,,Palanbo,Aime,,10
1675405540-641,13/02/23,08/03/2023,09/03/2023, 168, 168,Chambre Double ou Lits Jumeaux - Versant Sud,,Base Camp Lodge Hotels,Bourg-Saint-Maurice,,10
1675405540-642,13/02/23,08/03/2023,09/03/2023, 98, 98,Standard Double Room with Private Bathroom and shared toilets,,Hôtel La Petite Auberge,Bourg-Saint-Maurice,,10
1675405540-643,13/02/23,08/03/2023,09/03/2023, 97, 97,Chambre Double avec Salle de Bains Privative,,Hôtel Restaurant Angival - Chambres et Appartement,Bourg-Saint-Maurice,,10
1675405540-644,13/02/23,08/03/2023,09/03/2023, 158, 158,Chambre Triple,,Chalet Hôtel des 2 Gares,Saint-Gervais-les-Bains,,10
1675405540-645,13/02/23,08/03/2023,09/03/2023, 98, 98,Chambre Lits Jumeaux,,Hotel Autantic,Bourg-Saint-Maurice,,10
1675405540-646,13/02/23,08/03/2023,09/03/2023, 186, 186,Chambre Double ou Lits Jumeaux,,Chalet-Hôtel Les Fermes de Pierre & Anna,Le Grand-Bornand,,10
1675405540-647,13/02/23,08/03/2023,09/03/2023, 132, 132,Chambre Lits Jumeaux - Vue sur Rivière,,Hotel Terminus,Saint-Gervais-les-Bains,,10
1675405540-648,13/02/23,08/03/2023,09/03/2023, 97, 97,Chambre Double,,Hotel Du Commerce,Thônes,,10
1675405540-649,13/02/23,08/03/2023,09/03/2023, 73, 73,Chambre Double,,Fasthotel Thones,Thônes,,10
1675405540-650,13/02/23,08/03/2023,09/03/2023, 151, 151,Chambre Double Économique,,Hôtel Le Vermont,Le Grand-Bornand,,10
1675405540-651,13/02/23,08/03/2023,09/03/2023, 243, 243,Chambre Privilège - Vue sur Montagne,,Best Western Chalet les Saytels,Le Grand-Bornand,,10
1675405540-652,13/02/23,08/03/2023,09/03/2023, 106, 106,Chambre Standard avec 1 Lit Double et 1 Lit Simple,,Ibis Hôtel Sallanches,Sallanches,,10
1675405540-653,13/02/23,08/03/2023,09/03/2023, 75, 75,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,10
1675405540-654,13/02/23,08/03/2023,09/03/2023, 120, 120,Chambre Double ou Lits Jumeaux,,Hotel L'alpin,Landry,,10
1675405744-2945,13/02/23,08/03/2023,09/03/2023, 234, 234,Chambre Double Standard,,RockyPop Flaine Hotel & Spa,Flaine,,10
1675405744-2946,13/02/23,08/03/2023,09/03/2023, 234, 234,Chambre Double Annexe,,"Chalet-Hôtel Neige et Roc, The Originals Relais (Hotel-Chalet de Tradition)",Samoëns,,10
1675405744-2947,13/02/23,08/03/2023,09/03/2023, 214, 214,Chambre Double avec Baignoire,,Hôtel Les Glaciers,Samoëns,,10
1675405744-2948,13/02/23,08/03/2023,09/03/2023, 87, 87,Chambre Double,,Hôtel National,Cluses,,10
1675405744-2949,13/02/23,08/03/2023,09/03/2023, 103, 103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,10
1675405744-2950,13/02/23,08/03/2023,09/03/2023, 94, 94,Chambre Double Confort,,Hôtel 4C,Cluses,,10
1675405744-2951,13/02/23,08/03/2023,09/03/2023, 104, 104,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,10
1675405744-2952,13/02/23,08/03/2023,09/03/2023, 117, 117,Chambre Double Économique,,Edelweiss,Samoëns,,10
1675405744-2953,13/02/23,08/03/2023,09/03/2023, 164, 164,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,10
1675405744-2954,13/02/23,08/03/2023,09/03/2023, 79, 79,Chambre Double,,Hotel Edelweiss,Magland,,10
1675405744-2955,13/02/23,08/03/2023,09/03/2023, 206, 206,Chambre (2 Adultes),,Village De Vacances Les Flocons Verts,Les Carroz d'Arâches,,10
1675405744-2956,13/02/23,08/03/2023,09/03/2023, 249, 249,Chambre Triple Supérieure,,Hôtel La Grande Lanière,Les Gets,,10
1675405744-2957,13/02/23,08/03/2023,09/03/2023, 145, 145,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,10
1675405744-2958,13/02/23,08/03/2023,09/03/2023, 100, 100,Chambre Double avec Salle de Bains Privative,,Hôtel-Restaurant La Chartreuse,Le Reposoir,,10
1675405744-2959,13/02/23,08/03/2023,09/03/2023, 154, 154,Chambre Quadruple avec Salle de Bains Privative,,Le Taconet,Praz de Lys - Sommand,,10
1675405744-2962,13/02/23,08/03/2023,09/03/2023, 215, 215,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,10
1675405744-2963,13/02/23,08/03/2023,09/03/2023, 333, 333,Chambre Double Standard,,Hotel Le Christiania,Les Gets,,10
1675405744-2964,13/02/23,08/03/2023,09/03/2023, 167, 167,Chambre Double ou Lits Jumeaux Standard,,Hotel Le Concorde,Morzine,,10
1675405744-2965,13/02/23,08/03/2023,09/03/2023, 400, 400,Chambre Familiale,,Hotel le Petit Dru,Morzine,,10
1675405744-2966,13/02/23,08/03/2023,09/03/2023, 204, 204,Chambre Double,,Hotel Igloo,Morzine,,10
1675405744-2967,13/02/23,08/03/2023,09/03/2023, 346, 346,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,10
1675405744-2968,13/02/23,08/03/2023,09/03/2023, 181, 181,Chambre Double,,Chalet Hôtel VACCAPARK,Mieussy,,10
1675405744-2995,13/02/23,08/03/2023,09/03/2023, 514, 514,Chambre Quadruple avec Balcon,,Hôtel Névé,Morzine,,10
1675405744-2998,13/02/23,08/03/2023,09/03/2023, 122, 122,Chambre Double,,Auberge Les Gorges De La Diosaz,Servoz,,10
1675405744-3003,13/02/23,08/03/2023,09/03/2023, 297, 297,Chambre Double,,Chalet Hôtel Les Prodains,Morzine,,10
1675405744-3004,13/02/23,08/03/2023,09/03/2023, 130, 130,Chambre Lits Jumeaux,,L'Alpage,Le Grand-Bornand,,10
1675405744-3006,13/02/23,08/03/2023,09/03/2023, 468, 468,Chambre Quadruple,,Village Igloo Morzine Avoriaz,Avoriaz,,10
1675405744-3014,13/02/23,08/03/2023,09/03/2023, 233, 233,Chambre Double Standard avec Salle de Bains Privative Séparée et Balcon,,Guest House du Grand Paradis,Champéry,,10
1675405744-3016,13/02/23,08/03/2023,09/03/2023, 131, 131,Chambre Double - Côté Forêt,,Les Campanules,Les Houches,,10
1675405744-3017,13/02/23,08/03/2023,09/03/2023, 123, 123,Chambre Lits Jumeaux Côté Vallée,,Le Saint Antoine,Les Houches,,10
1675405744-3018,13/02/23,08/03/2023,09/03/2023, 236, 236,Chambre Double - Vue sur Hameau,,Hotel L'Etable,Les Crosets,,10
1675405744-3019,13/02/23,08/03/2023,09/03/2023, 286, 286,Chambre Double,,Mountain Lodge,Les Crosets,,10
1675405744-3020,13/02/23,08/03/2023,09/03/2023, 133, 133,Chambre Double avec Balcon - Côté Brévent,,Chalet Hôtel du Bois,Les Houches,,10
1675405744-3022,13/02/23,08/03/2023,09/03/2023, 108, 108,Chambre Double ou Lits Jumeaux Standard,,RockyPop Chamonix - Les Houches,Les Houches,,10
1675405744-3023,13/02/23,08/03/2023,09/03/2023, 175, 175,Chambre Double ou Lits Jumeaux - Vue sur Ville - 16 m²,,Alpina Eclectic Hotel,"Chamonix City Centre, Chamonix-Mont-Blanc",,10
